                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4391,                 4.1314,                 2.0221,                0.11376,                0.15441,                0.05774,                0.01896,                 2.0854,                  3.442,                 1.9783,             0.00013336,             0.00013336,             0.00013336
                      2,                 2.1455,                 2.7101,                 1.8008,                0.17452,                0.39414,                0.16292,                0.06249,                 1.9303,                 5.0014,                 1.8307,             0.00028058,             0.00028058,             0.00028058
                      3,                 1.8734,                 2.1895,                 1.6172,                0.34184,                0.32571,                0.26087,                0.11003,                  1.819,                 3.2557,                 1.6187,             0.00042484,             0.00042484,             0.00042484
                      4,                 1.7674,                 2.2179,                 1.5048,                0.26521,                0.46314,                0.28378,                0.12413,                 1.6847,                  2.992,                 1.5719,             0.00056612,             0.00056612,             0.00056612
                      5,                 1.7049,                 2.1333,                  1.497,                0.27448,                0.49114,                0.27143,                0.12115,                 1.6865,                  2.721,                 1.6197,             0.00070443,             0.00070443,             0.00070443
                      6,                 1.7921,                  2.101,                 1.5859,                0.12894,                 0.3503,                 0.1039,                0.04589,                  1.777,                 3.4156,                 1.6478,             0.00083978,             0.00083978,             0.00083978
                      7,                  1.675,                 1.9578,                 1.3909,                0.17466,                0.44891,                0.16066,                0.06163,                 1.9372,                 8.0293,                 1.7924,             0.00097215,             0.00097215,             0.00097215
                      8,                 1.7089,                 1.8886,                  1.486,                 0.4805,                0.32344,                0.27891,                0.11934,                 1.7729,                 5.3403,                 1.7399,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.7687,                 1.9507,                 1.5318,                0.36139,                0.44334,                0.35526,                0.14027,                 1.8273,                 3.9261,                 1.8126,               0.001228,               0.001228,               0.001228
                     10,                 1.7135,                 2.0676,                 1.4637,                0.45253,                 0.3717,                 0.3249,                0.13686,                 1.6842,                 3.3422,                 1.6154,              0.0013514,              0.0013514,              0.0013514
                     11,                 1.7345,                 1.9176,                  1.444,                 0.2586,                0.44128,                0.28851,                0.11185,                 1.8474,                 5.6226,                 1.7161,              0.0014719,              0.0014719,              0.0014719
                     12,                 1.6704,                 1.8123,                 1.4136,                0.33735,                0.40083,                0.31636,                0.13831,                 1.7287,                 3.2426,                 1.5589,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.6622,                 1.8444,                  1.376,                0.28918,                0.29723,                0.24489,                0.11278,                 1.7591,                 2.5944,                 1.5653,               0.001469,               0.001469,               0.001469
                     14,                 1.7009,                 1.8133,                 1.4243,                0.39913,                0.18582,                0.13715,                0.04928,                 2.0155,                 5.1568,                 1.9865,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.6729,                 1.7472,                 1.4382,                0.31017,                0.19005,                0.14496,                0.05052,                 1.9702,                 4.7434,                   1.96,               0.001436,               0.001436,               0.001436
                     16,                 1.6671,                 1.7798,                 1.4033,                0.35248,                0.37336,                0.30464,                0.12806,                 1.7482,                 2.8938,                  1.653,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.6144,                   1.71,                 1.3848,                0.43408,                0.39951,                 0.3579,                0.14692,                 1.8087,                 2.5319,                 1.6489,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.6654,                 1.8142,                 1.4263,                0.36727,                0.49267,                0.36934,                0.16446,                  1.806,                 2.3293,                 1.5738,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.6126,                 1.6601,                 1.3962,                 0.3315,                0.49548,                 0.3501,                0.14523,                 1.8014,                 2.5282,                 1.6048,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.6514,                 1.6958,                 1.4184,                0.43753,                 0.3598,                0.34032,                0.14491,                 1.8079,                 2.3509,                 1.6928,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.5893,                 1.6503,                 1.3856,                0.38997,                0.43373,                0.36596,                0.16339,                 1.7874,                 2.2954,                 1.6244,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.5745,                 1.6425,                 1.3575,                0.41597,                0.40432,                0.32885,                0.14875,                 1.7832,                 2.3201,                 1.5943,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.5755,                 1.6583,                 1.4197,                0.39933,                0.40931,                0.33211,                0.14553,                 1.7655,                 2.4574,                 1.6146,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.6047,                 1.6118,                 1.3837,                0.42731,                0.42826,                0.38081,                0.16771,                  1.869,                 2.3194,                 1.6993,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.5629,                 1.6194,                 1.3576,                0.43792,                0.50123,                0.41436,                0.17205,                   1.76,                 2.0816,                 1.6071,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.5503,                 1.6007,                 1.3502,                0.36465,                  0.477,                0.39258,                0.16938,                 1.7626,                 2.1385,                 1.5681,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.5529,                 1.6232,                  1.342,                0.47708,                0.44161,                0.38849,                0.16357,                 1.8022,                  2.282,                 1.6079,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.5549,                  1.551,                 1.3619,                0.49129,                0.47624,                0.45357,                0.19546,                 2.0272,                 2.2948,                 1.7358,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.5833,                 1.5374,                  1.365,                0.54506,                 0.4342,                0.44553,                 0.1886,                 1.7987,                 2.1943,                 1.6139,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.5812,                 1.5855,                 1.4106,                0.43002,                0.51593,                0.45414,                0.19112,                 1.8041,                 1.9684,                  1.568,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.5525,                 1.5528,                 1.3157,                0.44346,                0.44721,                0.40449,                0.17387,                 1.7962,                 2.1448,                 1.5458,              0.0011719,              0.0011719,              0.0011719
