                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4326,                 4.1941,                  2.247,                0.09108,                0.13648,                0.06362,                0.02313,                 2.0663,                 3.6021,                  1.977,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.9417,                 3.1566,                 1.7744,                0.02027,                0.52046,                 0.0179,                0.00734,                 2.1127,                    inf,                 2.2593,             0.00028058,             0.00028058,             0.00028058
                      3,                 1.8075,                 2.5494,                 1.7827,                0.01057,                 0.3454,                0.00756,                 0.0027,                    nan,                    nan,                    nan,             0.00042484,             0.00042484,             0.00042484
                      4,                 1.8515,                 2.4213,                  1.834,                 0.0007,                0.01942,                0.00034,                0.00015,                    nan,                    nan,                    nan,             0.00056612,             0.00056612,             0.00056612
                      5,                 1.8197,                 2.3844,                 1.8156,                 0.0007,                0.01942,                0.00034,                0.00015,                    nan,                    nan,                    nan,             0.00070443,             0.00070443,             0.00070443
                      6,                 1.8642,                 2.2648,                 1.8996,                0.00109,                0.02885,                0.00058,                0.00017,                    nan,                    nan,                    nan,             0.00083978,             0.00083978,             0.00083978
                      7,                 1.8175,                 2.2764,                 1.7668,                0.00109,                0.02885,                0.00058,                0.00017,                    nan,                    nan,                    nan,             0.00097215,             0.00097215,             0.00097215
                      8,                 1.7973,                 2.1235,                  1.889,                0.00109,                0.02885,                0.00058,                0.00017,                    nan,                    nan,                    nan,              0.0011015,              0.0011015,              0.0011015
                      9,                  1.862,                 2.1967,                 1.8422,                0.00095,                0.04864,                0.00051,                0.00023,                    nan,                    nan,                    nan,               0.001228,               0.001228,               0.001228
                     10,                 1.8936,                 2.2101,                 1.8999,                0.00105,                0.05345,                0.00058,                0.00023,                    nan,                    nan,                    nan,              0.0013514,              0.0013514,              0.0013514
                     11,                 1.9334,                 2.0707,                 1.8591,                0.00105,                0.05345,                0.00058,                0.00023,                    nan,                    nan,                    nan,              0.0014719,              0.0014719,              0.0014719
                     12,                 1.8677,                 2.0694,                 1.8595,                0.00104,                0.05364,                0.00057,                0.00019,                    nan,                    nan,                    nan,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.8536,                  2.002,                 1.8166,                0.00108,                0.06354,                0.00061,                0.00018,                 3.8244,                    inf,                 58.638,               0.001469,               0.001469,               0.001469
                     14,                 1.8401,                 1.9433,                 1.7816,                0.22618,                0.09672,                0.05765,                0.02785,                 3.7468,                    inf,                 4.4107,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.7882,                 1.9564,                 1.7658,                0.04019,                0.08758,                 0.0082,                0.00272,                 2.8459,                 48.522,                 3.6341,               0.001436,               0.001436,               0.001436
                     16,                 1.7792,                 1.9556,                 1.7354,                0.10035,                0.07287,                0.02548,                0.01155,                 2.7041,                 5.1935,                 2.6432,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.7776,                 1.9622,                 1.7484,                0.31179,                0.20371,                0.15829,                0.06174,                 2.3411,                 3.4987,                 2.3433,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.8091,                 2.0722,                 1.8144,                0.48337,                0.20937,                0.20788,                0.09742,                 2.1204,                 3.6731,                 2.1692,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.7866,                 2.0205,                 1.8148,                0.50853,                0.16101,                0.18512,                0.08279,                 1.8774,                 3.8389,                 2.0482,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.8011,                 1.9968,                 1.8044,                0.36238,                0.22049,                0.19031,                  0.083,                 1.9634,                 3.8771,                 2.1523,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.6947,                 1.9705,                 1.7267,                0.15431,                0.15187,                0.05712,                0.01876,                 3.0974,                 4.2224,                 3.2286,              0.0013369,              0.0013369,              0.0013369
                     22,                  1.677,                 1.9157,                  1.711,                0.38236,                0.16139,                0.11579,                0.05331,                 2.3181,                 3.3651,                 2.3062,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.6898,                 1.9491,                 1.8094,                0.28776,                0.26055,                0.18557,                 0.0858,                 1.9392,                 3.4127,                 2.1441,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.7192,                 1.8448,                 1.6899,                0.24536,                0.44287,                 0.2322,                0.09898,                 1.8498,                 3.6992,                 2.0205,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.6831,                 1.8808,                 1.6976,                0.28964,                 0.4737,                0.31529,                 0.1251,                 1.6775,                 3.1637,                  1.848,              0.0012709,              0.0012709,              0.0012709
                     26,                  1.669,                 1.8523,                 1.7127,                0.34169,                0.47653,                0.34135,                0.13871,                 1.6692,                 3.1915,                 1.8513,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.6944,                 1.9537,                 1.7293,                0.33182,                0.49218,                0.35814,                0.14178,                 1.6994,                 2.6361,                 1.8462,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.6355,                 1.8186,                 1.6927,                0.32995,                0.41384,                0.30327,                0.13904,                 1.8865,                 2.6197,                 1.9727,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.6906,                 1.7831,                 1.7026,                0.13779,                0.36086,                0.10205,                0.04251,                 1.9969,                 6.1261,                 2.4652,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.7178,                 1.8775,                 1.8119,                0.18389,                0.26216,                0.10562,                0.04849,                 2.1287,                 4.8324,                 2.7192,              0.0011884,              0.0011884,              0.0011884
